id,fase_clinica,cenario_populacao,recomendacao,detalhes_tratamento,nivel_evidencia,forca_recomendacao,estudo_base,observacoes,fonte,tipos_compativeis,id_estados
123,Adjuvância,"Hormonioterapia — Pré-menopausa, RH+ — RH+/HER2-",Oferecer Tamoxifeno por 5 a 10 anos,20 mg/dia,Alto,Forte,ATLAS/aTTom,"ATLAS (n=6.846, 100% RE+): TMX 10 vs 5 anos → ↓ recorrência e mortalidade por câncer de mama (após o 10º ano), ↓ mortalidade global, mas ↑ câncer endometrial (HR 1,74) e embolia pulmonar (HR 1,87). | aTTom (análise final n=6.953, ~40% RE+): TMX 10 vs 5 → ↓ recorrência (p=0,003), ↓ mortalidade por câncer de mama (p=0,05), ↑ câncer endometrial (RR 2,20). | Diferença: ATLAS 100% RE+ com seguimento longo; aTTom maioria RE desconhecido — resultados concordantes; benefício compensa risco endometrial principalmente na pré-menopausa.",Adjuvante,"[1,2,5,8,19,21]",adj_upfront_rhpos
124,Adjuvância,"Hormonioterapia — Pré-menopausa, alto risco (QT prévia ou idade <35 anos) — RH+/HER2-",Considerar supressão ovariana + Tamoxifeno ou IA,Triptorrelina/Goserrelina por 2-5 anos + Tamoxifeno ou Exemestano,Alto,Forte,SOFT/TEXT,"SOFT e TEXT (IBCSG, pré-menopausa RH+, 5 anos de tratamento): respondem perguntas complementares. | TEXT: exemestano+SO vs tamoxifeno+SO, com SO iniciada desde o início (concomitante à QT quando usada). | SOFT: tamoxifeno isolado vs tamoxifeno+SO vs exemestano+SO, em mulheres que permaneceram pré-menopausa (QT prévia ou não). | Análise combinada (n=4.690; E+SO vs T+SO): DFS HR 0,72 (5 anos); em <35 anos ou HER2- com QT prévia, ganho máximo (E+SO OS 15a 82,5% vs T 68,1%). | Com a análise final de 15 anos: benefício de SO/T+ vs T HR 0,82 (BCFI); E+SO ↓ recorrência distante em HER2- (HR 0,75). Benefício REAL de SO concentrado em alto risco (QT prévia ou <35 anos).",Adjuvante,"[1,2,5,8]",adj_upfront_rhpos
125,Adjuvância,"Hormonioterapia — Pós-menopausa, RH+ — RH+/HER2-",Oferecer IA ou Tamoxifeno ou sequencial,"Anastrozol 1 mg, Letrozol 2,5 mg ou Exemestano 25 mg, ou Tamoxifeno 20 mg, por 5-10 anos.
Alternativa sequencial: IA por 2-3 anos seguida de TMX, continuando até pelo menos 5 anos de tratamento endócrino.",Alto,Forte,,,Adjuvante,"[1,2,5,8,19,21]",adj_upfront_rhpos
126,Adjuvância,"Hormonioterapia — Pós-menopausa, RH+, em uso de Tamoxifeno há 2-3 anos — RH+/HER2-",Oferecer extensão com Letrozol por mais 5 anos (total 7-8 anos),"Letrozol 2,5 mg/dia",Não se aplica,Não se aplica,GIM4,"Estudo GIM4: pós-menopausa com 2-3 anos de TMX → letrozol por mais 5 anos (total 7-8) com ganho em SLD e SG.
Decisão de duração deve ser individualizada (toxicidades impactam adesão).",Adjuvante,"[1,2,5,8,19]",adj_upfront_rhpos
128,Adjuvância,PARP — Mutações germinativas BRCA1/2 + alto risco (RH+: CPS-EG≥3 pós-neoadjuvância OU ≥4 LFN em QT adjuvante; TN: doença residual ou T2/N+),Oferecer Olaparibe por 1 ano,"300 mg VO 2x/dia, 1 ano",Alto,Forte,OlympiA,"OlympiA: ganho em SLD e SG. Em 4 anos, SG 89,8 vs 86,4% (+3,4%; HR 0,68; IC 95% 0,47-0,97). | Dose: 300 mg VO 2x/dia por 1 ano. Em doentes TNBC com doença residual que usaram Pembrolizumabe, Olaparibe pode ser combinado (seguro).",Adjuvante,"[1,2,5,9,12,16]",adj_residual_tnbc_brca
129,Neoadjuvância,Pós-neoadjuvância (Doença Residual) — Pacientes com mutação germinativa BRCA1/2 e doença residual — TNBC,Administrar Olaparibe adjuvante,"Olaparibe 300 mg 2x/dia, 1 ano",Alto,Forte,OlympiA,"Melhora de SLD e SG (OlympiA): SG 89,8 vs 86,4% em 4 anos (HR 0,68).
Evitar associação capecitabina + olaparibe (combinação não testada).",Neoadjuvante,"[1,2,5,9,15,16]","pos_neoadj_tnbc_residual,adj_residual_tnbc_brca"
130,Adjuvância,Anti-HER2 — Qualquer HER2+ em uso de Trastuzumabe,Monitorar fração de ejeção (FEVE),"Avaliar em 0, 3, 6, 9 e 12 meses",Não se aplica,Não se aplica,,"Avaliar FEVE em 0, 3, 6, 9 e 12 meses.
Pausa de 4 semanas se queda >16% do basal ou 10-15% abaixo do limite normal; sem recuperação, suspender trastuzumabe.",Adjuvante,"[1,2,6]","adj_upfront_her2,pos_neoadj_her2_pcr,pos_neoadj_her2_residual"
131,Adjuvância,Seleção de Pacientes — Tumores menores de 5 mm ou LFN negativo sem outros aspectos de mau prognóstico,Considerar tratamento sem QT adjuvante,"Tumores < 5 mm ou LFN negativo, sem nenhum outro aspecto de mau prognóstico: tratar sem QT adjuvante; hormonioterapia conforme subtipo.",Não se aplica,Não se aplica,,Condicional na diretriz ('poderão ser tratadas sem QT adjuvante').,Adjuvante,"[1,2,7]","adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos"
132,Adjuvância,Quimioterapia — Qualquer RH+/HER2-,Não adicionar 5-FU ao AC ou EC,"Usar AC sem 5-FU: Doxorrubicina 60 mg/m² + Ciclofosfamida 600 mg/m² q21d ou dose-densa q14d com G-CSF.
5-FU não agrega benefício.",Alto,Forte,,"Para tumores RH+/HER2- com indicação de QT: preferir esquemas com antracíclico + taxano (AC→T ou ACdd→T).
Não utilizar 5-FU associado ao AC ou EC (sem benefício adicional).",Adjuvante,"[1,2,7]",adj_upfront_rhpos
134,Adjuvância,"CDIS, HER2+",Não oferecer anti-HER2 adjuvante,Não oferecer terapia anti-HER2 para carcinoma in situ com hiperexpressão de HER2.,Moderado,Fraca,,,Adjuvante,"[1,2,7]",
136,Adjuvância,Estilo de Vida — Durante tratamento adjuvante,"Não recomendar dietas específicas (jejum, cetogênica, low-fat, etc.)","Não há evidências suficientes a favor ou contra dietas cetogênicas ou de baixo teor de carboidratos, dietas de baixo teor de gordura, alimentos funcionais ou jejum, quanto a qualidade de vida, toxicidade ou controle do câncer.",Não se aplica,Não se aplica,,Sem dados suficientes,Adjuvante,"[1,2,7,13]","adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos"
139,Adjuvância,Seleção de Pacientes — Pacientes pós-menopausa com até 3 LFN positivos e risco genômico baixo — RH+/HER2-,Considerar tratamento sem QT adjuvante,Omitir QT: hormonioterapia adjuvante isolada conforme subtipo. | RxPonder: pós-menopausa com 1-3 LFN e risco genômico baixo (RS≤25) sem benefício de QT.,Alto,Forte,RxPonder,,Adjuvante,"[1,2,7,17]",adj_upfront_rhpos
140,Adjuvância,"Hormonioterapia — Pós-menopausa, RH+, em uso de IA há 5 anos — RH+/HER2-",Não estender IA para 10 anos (vs 7 anos),Sem benefício em SLD e mais fraturas,Alto,Forte,ABCSG-16/SALSA,"ABCSG-16 e SALSA referem-se ao MESMO estudo (ABCSG-16/Salsa, Gnant et al., 2021): pós-menopausa com 5 anos de HT concluídos, randomizadas para 2 vs 5 anos adicionais de IA. | Resultado: SEM diferença em SLD; aumento de fraturas ósseas no braço com 5 anos adicionais. | Conclusão: duração de 7 anos (5+2) de IA é adequada; estender a 10 anos não traz benefício e aumenta fraturas.",Adjuvante,"[1,2,7,8,19]",adj_upfront_rhpos
141,Adjuvância,Mammaprint disponível — Baixo risco clínico pelos critérios do MINDACT — RH+/HER2-,Não realizar Mammaprint,,Alto,Forte,MINDACT,Possuem ótimo prognóstico independentemente do risco genômico.,Adjuvante,"[1,2,7,9]",adj_upfront_rhpos
142,Adjuvância,Oncotype Dx disponível — Recurrence Score (RS) < 11 — RH+/HER2-,Não oferecer QT; indicar exclusivamente hormonioterapia adjuvante,,Alto,Forte,TAILORx,,Adjuvante,"[1,2,7,9,17,21]",adj_upfront_rhpos
143,Adjuvância,Oncotype Dx disponível — RS entre 11-15 com menos de 50 anos — RH+/HER2-,Não oferecer QT; indicar exclusivamente hormonioterapia adjuvante,,Alto,Forte,TAILORx,Análise do TAILORx não demonstrou benefício de QT nesse grupo; o benefício observado em pacientes jovens com RS intermediário é discutido principalmente nos grupos RS 16-25.,Adjuvante,"[1,2,7,9,17]",adj_upfront_rhpos
144,Adjuvância,Oncotype Dx disponível — RS ≤ 25 e idade > 50 anos — RH+/HER2-,Não oferecer QT; indicar exclusivamente hormonioterapia adjuvante,,Alto,Forte,TAILORx,,Adjuvante,"[1,2,7,9,17]",adj_upfront_rhpos
145,Adjuvância,"Oncotype Dx disponível — Pós-menopausa, 1-3 LFN axilares positivos, RS ≤ 25 — RH+/HER2-",Não oferecer QT,,Alto,Forte,RxPonder,,Adjuvante,"[1,2,7,9,17]",adj_upfront_rhpos
146,Adjuvância,Mammaprint disponível — Mulheres jovens (<50 anos) com alto risco clínico e baixo risco genômico — RH+/HER2-,Não utilizar Mammaprint isoladamente na decisão de QT,Discutir QT adjuvante.,Não se aplica,Não se aplica,MINDACT (análise exploratória),A análise exploratória não permitiu excluir benefício potencial da QT; diferença de aproximadamente 5 pontos percentuais em sobrevida livre de metástase à distância.,Adjuvante,"[1,2,7,9,17]",adj_upfront_rhpos
147,Adjuvância,Hormonioterapia — Perimenopausa — RH+/HER2-,"Iniciar com Tamoxifeno por 2-3 anos; se confirmada menopausa, trocar para IA por mais 2-3 anos (total 5 anos)","Tamoxifeno 20 mg/dia por 2-3 anos; se menopausa confirmada (bioquímica), trocar para IA (Letrozol 2,5 mg, Anastrozol 1 mg ou Exemestano 25 mg/dia) por mais 2-3 anos (total 5 anos).",Não se aplica,Não se aplica,,"Condicional na diretriz ('pode ser depois substituído por IA por mais 2-3 anos'), mediante confirmação bioquímica de menopausa.",Adjuvante,"[1,2,8,19]",adj_upfront_rhpos
148,Neoadjuvância,"Tumores triplo-negativos, HER2 positivo ou localmente avançados",Considerar PET/CT FDG,PET/CT FDG,Moderada,Moderada,,Considerar custo e acesso,Neoadjuvante,"[1,2,9]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos"
150,Adjuvância,"Hormonioterapia — Pós-menopausa, para estimar risco de recorrência tardia (5-10 anos) — RH+/HER2-",Utilizar ferramenta CTS5,"CTS5 estima risco de recorrência tardia (5-10 anos) em pós-menopausa, auxiliando na decisão de estender a hormonioterapia além de 5 anos.",Moderado,Forte,Dowsett et al.,,Adjuvante,"[1,2,9]",adj_upfront_rhpos
151,Metastático,Estadiamento — Exames inconclusivos ou doença óssea exclusiva,Realizar PET/CT em casos selecionados,,Não se aplica,Não se aplica,,Especialmente importante em doença óssea exclusiva.,Metastática,"[1,2,9]","meta_1l_rhpos,meta_1l_her2,meta_1l_tnbc"
152,Metastático,Biomarcadores — RH+/HER2- metastático,"Pesquisar mutações somáticas PIK3CA, AKT e PTEN",,Não se aplica,Não se aplica,CAPItello-291/SOLAR-1,"CAPItello-291 (fase III, 2ª linha, n=708; capivasertibe 400 mg VO 12/12h 4d on/3d off + fulvestranto vs placebo+fulvestranto): população com alteração PIK3CA/AKT1/PTEN → SLP 7,3 vs 3,1 meses (HR 0,50; p<0,001) — justifica pesquisar TODA a via (PIK3CA, AKT1 e PTEN). | SOLAR-1 (fase III, 2ª linha pós-IA; alpelisibe 300 mg/dia + fulvestranto vs placebo): coorte com mutação PIK3CA → SLP 11,0 vs 5,7 meses (HR 0,65; p<0,001), sem ganho formal de SG. | Diferença: CAPItello-291 avalia capivasertibe (inibidor de AKT) e exige alteração na via (PIK3CA/AKT1/PTEN); SOLAR-1 avalia alpelisibe (inibidor de PIK3CA) e exige apenas PIK3CA. Painel deve cobrir PIK3CA + AKT1 + PTEN.",Metastática,"[1,2,9,16]","meta_1l_rhpos,meta_progressao_rhpos,meta_linhas_tardias"
153,Metastático,Biomarcadores — Triplo-negativo (TNBC),Avaliar expressão de PD-L1 (22C3 CPS),,Não se aplica,Não se aplica,KEYNOTE-355,Para indicar pembrolizumabe (CPS ≥10 define a indicação).,Metastática,"[1,2,9,16]","meta_1l_tnbc,meta_progressao_tnbc"
155,Metastático,Biomarcadores — Mutações germinativas,Pesquisar BRCA1/2 e PALB2,,Não se aplica,Não se aplica,OlympiAD/EMBRACA,"OlympiAD (olaparibe 300 mg 2x/dia vs QT à escolha; n=302, gBRCA, HER2-, até 2 linhas): SLP 7,0 vs 4,2 meses (HR 0,58); ORR 59,9 vs 28,8%; SEM ganho de SG (HR 0,90). | EMBRACA (talazoparibe 1 mg/dia vs QT à escolha; n=431, gBRCA1/2): SLP 8,6 vs 5,6 meses (HR 0,54); ORR 62,6 vs 27,2%; SEM ganho de SG em 44,9 meses. | Diferença: fármacos e estudos distintos (olaparibe/OlympiAD; talazoparibe/EMBRACA), população sobreponível (gBRCA mBC, HER2-, prévia 1-2 linhas ou 1ª linha TNBC/HR+ com escolha por QT) — magnitude de ganho semelhante; nenhum mostrou SG. OlympiAD e EMBRACA — sustentam especificamente BRCA1/2, não PALB2. A diretriz também diz que BRCA1/2 tem implicação terapêutica direta para iPARP.",Metastática,"[1,2,9,16]","meta_1l_rhpos,meta_1l_tnbc,meta_progressao_rhpos,meta_progressao_tnbc"
156,Adjuvância,"Oncotype Dx disponível — Idade ≤ 50 anos, RS entre 16-20 — RH+/HER2-",Discutir QT adjuvante,,Moderado,Forte,TAILORx (análise exploratória),"Em mulheres ≤ 50 anos com RS entre 16-20, o benefício absoluto da QT é de ~1,6%. O benefício é parcialmente explicado pela supressão ovariana induzida pela QT. Discutir com a paciente.",Adjuvante,"[1,2,9,17]",adj_upfront_rhpos
157,Adjuvância,"Oncotype Dx disponível — Idade ≤ 50 anos, RS entre 21-25 — RH+/HER2-",Discutir QT adjuvante,,Moderado,Forte,TAILORx (análise exploratória),"Em mulheres ≤ 50 anos com RS entre 21-25, o benefício absoluto da QT é de ~6,5%. O benefício é parcialmente explicado pela supressão ovariana induzida pela QT. Discutir com a paciente.",Adjuvante,"[1,2,9,17]",adj_upfront_rhpos
158,Adjuvância,Oncotype Dx disponível — RS acima de 25 — RH+/HER2-,Indicar QT adjuvante,Seguir os esquemas de QT recomendados para adjuvância na diretriz.,Alto,Forte,TAILORx,,Adjuvante,"[1,2,9,17]",adj_upfront_rhpos
159,Adjuvância,"Oncotype Dx disponível — Pré-menopausa, 1-3 LFN axilares positivos, RS ≤ 25 — RH+/HER2-",Considerar QT adjuvante,,Alto,Forte,RxPonder,"Benefício absoluto em SLDi de 5,2% (pré-menopausa, RS ≤ 25). | Na pré-menopausa, parte do benefício pode decorrer da supressão ovariana induzida pela QT.",Adjuvante,"[1,2,9,17]",adj_upfront_rhpos
160,Adjuvância,"Mammaprint disponível — Pós-menopausa, alto risco clínico,  RH+/HER2- e N0",Indicar Mammaprint preferencialmente nesse cenário,,Alto,Forte,MINDACT,Alto risco genômico corrobora QT adjuvante; baixo risco genômico permite omitir QT.,Adjuvante,"[1,2,9,17]",adj_upfront_rhpos
161,Adjuvância,Mammaprint disponível — Até 3 LFN comprometidos — RH+/HER2-,Indicar Mammaprint,,Alto,Forte,MINDACT,"O baixo risco genômico NÃO exclui completamente o benefício da QT, principalmente se ≥2 LFN comprometidos.",Adjuvante,"[1,2,9,17]",adj_upfront_rhpos
162,Diagnóstico/Estadiamento,Pré-menopausa durante QT (neo)adjuvante,Oferecer análogos do GnRH (GnRHa) para reduzir risco de insuficiência ovariana prematura,"Análogo do GnRH durante a QT (neo)adjuvante, iniciando antes/durante, em pré-menopausa.
NÃO substitui criopreservação de oócitos/embriões.",Moderado,Forte,,"POEMS/SWOG S0230 (goserelina durante QT; n=257, RH-): falência ovariana aos 2 anos 8% vs 22% (OR 0,30); gestações 21% vs 11%; melhorou também DFS e OS. | PROMISE-GIM6 (triptorrelina durante QT; n=281, <45 anos): retorno de menstruação/estradiol pré-menopausa 77% vs 58% (p=0,006). | Lambertini 2018 (metanálise de dados individuais, inclui os dois): GnRHa reduz falência ovariana prematura. | Diferença: POEMS com goserelina em RH- (mostrou ainda ganho de sobrevida); PROMISE com triptorrelina em qualquer RH (desfecho só função ovariana). Ambos sustentam oferecer GnRHa; não substituem criopreservação.",Estadiamento,"[1,6,8]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos,adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos"
163,Diagnóstico/Estadiamento,Pacientes sem desejo reprodutivo,Oferecer GnRHa para reduzir menopausa precoce,"Análogo do GnRH durante a QT para reduzir risco de menopausa precoce, mesmo sem desejo reprodutivo.",Moderado,Forte,Lambertini JCO 2018/Moore/POEMS,"Baseado nas mesmas evidências robustas (estudos POEMS/SWOG S0230 com goserelina e PROMISE-GIM6 com triptorrelina, que demonstraram redução da falência ovariana prematura), a indicação se aplica mesmo na ausência de desejo reprodutivo, visando reduzir o risco de menopausa precoce.",Estadiamento,"[1,6,8]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos,adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos"
164,Diagnóstico/Estadiamento,"Antes de usar antraciclinas, trastuzumabe, pertuzumabe ou T-DM1",Avaliar função cardíaca (ecocardiograma doppler ou cintilografia),Ecocardiograma ou cintilografia,Alto,Forte,,"Obrigatório antes de antraciclinas, Trastuzumabe, Pertuzumabe ou T-DM1. Monitorar FEVE nos meses 0, 3, 6, 9 e 12 durante o tratamento com anti-HER2. Pausar o trastuzumabe por 4 semanas se houver queda >16% do valor basal ou se a FEVE cair 10-15% abaixo do limite inferior da normalidade.",Estadiamento,"[1,6,9]","diag_estadiamento,neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos,adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos,pos_neoadj_her2_pcr,pos_neoadj_her2_residual"
165,Diagnóstico/Estadiamento,Doença inicial,Não testar PD-L1 (não influencia decisões terapêuticas),,Alto,Forte,,,Estadiamento,"[1,7,9]",diag_estadiamento
166,Rastreamento,Mulheres com 75 anos ou mais,Realizar avaliação individualizada considerando saúde geral e expectativa de vida,,Não se aplica,Não se aplica,,Considerar a saúde geral e a expectativa de vida.,Estadiamento,"[1,8,11]",
167,Diagnóstico/Estadiamento,"Jovens com mamas densas, tumores lobulares, multicêntricos, ocultos, neoadjuvância ou discrepância clínica/imagem",Realizar RM de mamas,RM de mamas,Não se aplica,Não se aplica,"Mann et al., Breast MRI: state of the art","Condicional na diretriz ('A RM de mamas deve também ser considerada').
Sem tag de NE no texto.",Estadiamento,"[1,8,11]",diag_estadiamento
168,Adjuvância,Seguimento,Encaminhar para aconselhamento genético,,Não classificado,Não classificado,Khatcheressian JL 2013,"Critérios de risco: Diagnóstico aos ≤50 anos 
ou Qualquer idade com: História familiar desconhecida ou limitada; História pessoal de neoplasia de mama;
≥ 1 familiar(es) próximo(s) com câncer de mama ≤ 50 anos, ovário, câncer de próstata de alto grau (gleason ≥ 7) ou intraductal, ou câncer de pâncreas;
≥ 3 familiares com câncer de mama ou próstata (qualquer grau);Câncer de mama triplo-negativo;
Câncer de mama masculino;
Múltiplos primários de mama;
Câncer de mama lobular com história pessoal ou familiar para câncer gástrico difuso;
Possibilidade de indicação terapêutica de inibidor de PARP, incluindo RH+/HER2ou RH-/HER2com doença metastática ou com doença localizada de alto risco.

Considerações:
Por familiares próximos entendem-se parentes de primeiro, segundo ou terceiro grau de um mesmo lado familiar. Em caso de suspeita de síndromes genéticas, algumas ferramentas para estimativas de risco familiar como Ontario Family History Assessment Tool e Manchester Scoring System podem auxiliar na decisão de encaminhamento à investigação genética",Adjuvante,"[1,8,13]","diag_estadiamento,seguimento_curto_prazo,seguimento_longo_prazo"
169,Rastreamento,Mulheres de 40 a 74 anos,Realizar rastreamento mamográfico anual (preferencialmente digital),Mamografia bilateral,Alto,Forte,Marmot et al. 2013/Duffy SW et al. 2020 (UK Age trial),"Marmot (Independent UK Panel, Br J Cancer 2013 — revisão/metanálise dos ECR de rastreamento, faixas etárias 40-74): redução de mortalidade por câncer de mama ~20% nos ECR; balanço favorável em mulheres de 40-74 anos. | Duffy et al. (UK Age trial, Lancet Oncol 2020 — ECR do Reino Unido): rastreamento anual a partir dos 40 anos com ~25% de redução de mortalidade por câncer de mama; no Brasil, dados mais recentes mostram maior redução (35,2-41,7%) quando o rastreamento anual inicia aos 40. | Diferença: Marmot fornece a base metanalítica dos ECR; Duffy dá a estimativa de magnitude em programas que começam aos 40 — juntos embasam o rastreamento anual de 40-74 anos.",Estadiamento,"[1,8,14]",
170,Diagnóstico/Estadiamento,Todos os casos,Identificar fatores de risco para câncer hereditário e encaminhar para aconselhamento genético,Aconselhamento genético,Moderado,Forte,,Critérios no Guia sobre Câncer de Mama Hereditário da SBOC.,Estadiamento,"[1,8,9]",diag_estadiamento
171,Neoadjuvância,Pacientes com risco aumentado ou candidatas a olaparibe adjuvante,Oferecer aconselhamento genético (teste BRCA),Teste BRCA,Moderado,Forte,,"Critérios: idade <50 anos, TNBC, bilateral, história familiar, ascendência Ashkenazi",Neoadjuvante,"[1,8,9]","neoadj_candidata_tnbc,neoadj_candidata_her2,neoadj_candidata_rhpos,adj_upfront_tnbc,adj_upfront_her2,adj_upfront_rhpos,pos_neoadj_tnbc_residual,adj_residual_tnbc_brca"
172,Diagnóstico/Estadiamento,Resultado HER2 indeterminado (2+),"Realizar hibridização in situ (FISH, CISH, SISH)",FISH/CISH/SISH,Moderado,Forte,,,Estadiamento,"[1,9,11]",diag_estadiamento
173,Diagnóstico/Estadiamento,Casos de negatividade para RH e HER2 na biópsia,Reavaliar IHQ na peça cirúrgica,Reavaliação IHQ na peça cirúrgica,Baixo,Forte,,,Estadiamento,"[1,9,11]",diag_estadiamento
174,Diagnóstico/Estadiamento,Casos selecionados de RE+ baixo grau/lobular (papel não estabelecido),Realizar PET/CT-FES,PET/CT-FES,Baixo,Fraca,Paluch-Shimon et al.,"Indicação principal hoje é doença metastática (avaliar expressão de RE); papel no estadiamento inicial não estabelecido.
Condicional na diretriz ('podendo ser considerado em casos selecionados').",Estadiamento,"[1,9,11]",diag_estadiamento
175,Diagnóstico/Estadiamento,FISH para HER2 indeterminado,Classificar como HER2 negativo,Categoria final: HER2 negativo,Não se aplica,Não se aplica,"AJCC Cancer Staging Manual, 8ª ed.",Texto diretivo: 'deve ser considerada a categoria HER2 negativo'.,Estadiamento,"[1,9,11]",diag_estadiamento
176,Diagnóstico/Estadiamento,Avaliação radiológica axilar ao diagnóstico OU antes de tratamento neoadjuvante,"Realizar USG de axilas; se LFN suspeito, punção por agulha fina ou core biopsy guiada por USG",USG axilar + punção guiada se LFN suspeito,Moderado,Forte,,"Duas situações alternativas (OU), mesma conduta.
USG: ESMO MODERADO/FORTE; punção: ESMO BAIXO/FORTE + NCCN MODERADO/FORTE.
Avaliar com cautela quando o status linfonodal puder alterar manejo inicial (ex.: neoadjuvância em HER2+/TNBC).",Estadiamento,"[1,9,14]",diag_estadiamento
178,Diagnóstico/Estadiamento,Dor óssea ou FALC elevada,Realizar cintilografia óssea ou PET/CT,Cintilografia óssea ou PET/CT,Não se aplica,Não se aplica,,"Condicional na diretriz ('considerar').
A recomendação aparece como exceção ao estadiamento de rotina na seção de estadiamento inicial; (não realizar imagem rotineiramente em estádio inicial): ESMO BAIXO/FORTE; NCCN MODERADO/FORTE.",Estadiamento,"[1,9,18]",diag_estadiamento
180,Metastático,Informativo — 1ª linha — Virgens de tratamento sistêmico para doença avançada (DESTINY-Breast09) — HER2+,Considerar T-DXd + Pertuzumabe (opção em avaliação; NÃO aprovado para 1ª linha no Brasil),"T-DXd 5,4 mg/kg EV q3sem + Pertuzumabe (ataque 840 mg, manutenção 420 mg)",Não se aplica,Não se aplica,DESTINY-Breast09,"DB09 (fase III, virgens de tratamento): T-DXd + pertuzumabe vs HP + taxano - SLP 40,7 vs 26,9 meses (HR 0,56; IC 95% 0,44-0,71); SG imaturo; braço T-DXd monoterapia ainda não reportado. SEM aprovação pela Anvisa no momento da diretriz (não consta nas recomendações formais); 1ª linha formal continua sendo T-DXd isolado para recidiva precoce ou HP + taxano nos demais casos.",Metastática,"[1,2,3,5,10,12,20]",meta_1l_her2
181,Metastático,Informativo — 1ª linha — TNBC metastático não candidata a imunoterapia (PD-L1 negativo ou não elegível),Oferecer Sacituzumabe govitecana em monoterapia (NÃO aprovado para 1ª linha no Brasil),Sacituzumabe 10 mg/kg EV D1 e D8 q21d,Não se aplica,Não se aplica,ASCENT-03,"ASCENT-03 (fase III): sacituzumabe vs QT à escolha do investigador em 1ª linha - SLP 9,7 vs 6,9 meses (HR 0,62); maior duração de resposta. Sem aprovação regulatória para 1ª linha no Brasil no momento da diretriz (não consta no fluxograma); informativo. Regime de 1ª linha formal: imuno se CPS>=10 ou QT/Dato-DXd.",Metastática,"[1,2,3,5,20]",meta_1l_tnbc
182,Metastático,Informativo — 1ª linha — TNBC metastático PD-L1 positivo (candidata a imunoterapia),Oferecer Sacituzumabe govitecana + Pembrolizumabe (NÃO aprovado no Brasil),Sacituzumabe + Pembrolizumabe (em estudo; ASCENT-04/KEYNOTE-D19),Não se aplica,Não se aplica,ASCENT-04 (KEYNOTE-D19),"ASCENT-04 (KEYNOTE-D19): sacituzumabe + pembrolizumabe vs imuno + QT (padrão) - SLP 11,2 vs 7,8 meses (HR 0,65) em TNBC PD-L1 positivo 1ª linha. Sem aprovação regulatória no momento da diretriz; não consta no fluxograma; informativo.",Metastática,"[1,2,3,5,16,20]",meta_1l_tnbc
183,Metastático,1ª linha — Alternativa — RH+/HER2-,Oferecer Fulvestranto + Ribociclibe (alternativa a IA + iCDK4/6 em 1ª linha),"Fulvestranto 500 mg IM D1, D15 e D29, depois 500 mg IM D1 a cada 28 dias + Ribociclibe 600 mg VO D1-D21/q28d.",Alto,Forte,MONALEESA-3,"Guarda-chuva: 1ª linha — alternativa a IA + iCDK4/6; PARSIFAL mostrou equivalência entre fulvestranto e IA quando combinados a iCDK4/6. | MONALEESA-3 (ribociclibe + fulvestranto, pós-menopausa, 1ª e 2ª linha): SG 53,7 vs 41,5 meses (HR 0,73) em 56 meses.",Metastática,"[1,2,3,4,5,20,21]",meta_1l_rhpos
184,Metastático,1ª linha — Alternativa — RH+/HER2-,Oferecer Fulvestranto + Abemaciclibe (alternativa a IA + iCDK4/6 em 1ª linha),"Fulvestranto 500 mg IM D1, D15 e D29, depois 500 mg IM D1 a cada 28 dias + Abemaciclibe 150 mg VO 2x/dia contínuo.",Alto,Forte,MONARCH-2,"Guarda-chuva: 1ª linha — alternativa a IA + iCDK4/6; PARSIFAL mostrou equivalência entre fulvestranto e IA quando combinados a iCDK4/6.
MONARCH-2 (abemaciclibe + fulvestranto APÓS progressão a IA): SG 46,7 vs 37,3 meses (HR 0,757; p=0,0137) em 47,7 meses.",Metastática,"[1,2,3,4,5,20,21]",meta_1l_rhpos
188,Metastático,Manutenção — HER2+/RH+ (após resposta máxima à QT),Oferecer Trastuzumabe + Pertuzumabe + Hormonioterapia (manutenção HER2+/RH+),Trastuzumabe (ataque 8 mg/kg EV + manutenção 6 mg/kg q3sem) + Pertuzumabe (ataque 840 mg + manutenção 420 mg q3sem) + IA ou Tamoxifeno.,Não se aplica,Não se aplica,PERTAIN,"Guarda-chuva: após resposta máxima à QT, anti-HER2 + HT é preferencial sobre HT isolada. | PERTAIN (fase II, 1ª linha HER2+/RH+): HP + IA vs T + IA → SLP 18,9 vs 15,8 meses (HR 0,65; p=0,007).",Metastática,"[1,2,3,5,20]",meta_linhas_tardias
